I II V1 V2 V3 V4 V5 V6
4 17 -6 27 38 36 17 10
3 15 -6 27 38 36 18 10
3 17 -7 26 36 35 18 11
5 19 -5 27 37 37 19 13
8 21 -5 27 37 38 20 14
9 22 -7 25 35 36 19 13
6 20 -7 23 32 34 18 13
4 19 -8 22 30 32 17 11
5 19 -9 20 29 30 17 11
6 19 -10 18 26 28 16 10
6 19 -10 17 24 26 15 10
5 19 -8 16 23 25 15 11
4 18 -9 14 20 22 13 9
2 15 -10 12 17 19 11 8
-3 11 -11 11 14 17 10 7
-4 10 -13 8 11 14 7 5
0 12 -11 8 11 13 8 6
7 18 -11 8 9 12 8 6
12 23 -9 9 9 12 9 7
11 22 -8 9 8 12 8 7
7 17 -10 7 5 9 6 5
5 13 -10 5 3 6 4 4
6 14 -11 3 2 3 3 3
6 14 -11 3 1 2 2 2
4 13 -10 3 -2 1 1 1
5 13 -9 3 -3 1 1 2
6 14 -10 1 -5 0 -2 2
5 12 -9 1 -6 -3 -2 1
3 10 -9 1 -7 -5 -3 -2
1 9 -9 0 -8 -6 -4 -3
0 7 -9 -2 -9 -7 -5 -3
1 6 -10 -3 -11 -9 -6 -5
2 7 -9 -3 -12 -9 -5 -4
4 10 -9 -3 -12 -10 -6 -4
5 11 -10 -3 -12 -10 -7 -4
3 7 -10 -5 -13 -12 -9 -6
-2 2 -11 -7 -15 -13 -10 -8
-2 4 -10 -5 -14 -13 -9 -7
3 9 -9 -3 -13 -12 -8 -5
5 10 -8 -2 -12 -11 -7 -4
4 9 -8 -3 -12 -12 -9 -5
3 7 -8 -3 -12 -13 -10 -5
2 7 -7 -3 -12 -13 -10 -5
2 7 -7 -3 -13 -13 -10 -6
3 7 -8 -4 -13 -14 -11 -7
3 6 -7 -3 -12 -13 -10 -5
3 7 -8 -4 -13 -14 -11 -6
3 7 -8 -5 -14 -15 -11 -7
2 7 -8 -4 -14 -16 -11 -7
1 6 -8 -5 -14 -17 -12 -8
1 6 -8 -6 -15 -17 -13 -9
1 6 -8 -7 -16 -17 -13 -9
1 5 -7 -5 -14 -16 -12 -7
1 5 -6 -4 -14 -16 -12 -7
1 6 -7 -5 -16 -17 -14 -9
2 7 -7 -5 -15 -17 -13 -8
3 8 -7 -4 -15 -16 -13 -8
4 9 -7 -4 -15 -16 -13 -9
3 9 -7 -4 -15 -16 -13 -8
0 6 -6 -4 -16 -18 -14 -9
-2 5 -8 -6 -17 -20 -16 -11
1 7 -7 -5 -16 -20 -15 -11
2 8 -7 -4 -15 -18 -14 -10
0 6 -6 -4 -15 -18 -14 -9
-4 4 -7 -5 -17 -20 -15 -10
-5 4 -8 -5 -17 -20 -15 -10
-3 5 -7 -6 -16 -18 -15 -11
0 7 -7 -5 -16 -18 -14 -10
2 9 -6 -4 -15 -17 -13 -9
1 9 -7 -5 -15 -18 -14 -10
0 7 -7 -5 -15 -18 -14 -10
2 8 -7 -5 -15 -18 -14 -10
4 10 -6 -5 -14 -17 -14 -9
4 10 -7 -5 -14 -18 -14 -9
2 10 -7 -5 -14 -18 -14 -10
0 9 -6 -4 -14 -17 -14 -10
0 9 -6 -4 -15 -16 -14 -10
1 9 -8 -5 -16 -17 -15 -11
0 8 -7 -4 -14 -17 -14 -10
-2 8 -8 -5 -15 -18 -15 -11
-2 7 -8 -5 -15 -18 -14 -11
-4 5 -9 -6 -16 -19 -15 -11
-6 3 -9 -7 -17 -21 -17 -12
