I II V1 V2 V3 V4 V5 V6
-5 1 9 4 6 5 3 -3
-4 1 9 5 7 6 4 -3
-3 1 9 4 6 6 3 -3
-3 2 8 5 6 6 3 -3
-3 3 8 5 7 6 4 -2
-3 4 6 5 7 7 3 -2
-3 3 6 5 7 8 4 0
-3 1 6 4 6 7 3 -2
-3 0 7 6 8 8 3 -2
-2 2 9 7 9 9 4 0
0 3 10 7 9 9 5 0
-3 1 9 6 7 8 4 -3
-5 0 7 5 7 7 3 -3
-4 2 6 6 7 8 4 -2
-3 3 7 7 9 10 5 1
-3 3 7 6 10 10 5 0
-3 4 6 6 9 9 4 0
-2 5 7 7 9 10 5 1
-2 5 7 8 10 11 5 1
-2 4 8 7 10 11 4 0
-3 2 9 8 11 11 4 0
-3 2 8 8 11 11 5 0
-3 3 8 8 11 10 5 0
-2 3 6 7 10 9 4 -2
-2 3 6 7 10 9 4 -2
-2 4 6 7 10 9 4 0
-3 4 6 7 10 9 4 0
-3 3 7 9 11 10 5 2
-3 3 7 9 11 10 5 1
-4 2 7 8 10 10 5 0
-4 1 8 9 11 11 6 0
-4 0 7 8 11 10 5 -2
-3 0 6 8 11 10 4 -2
-3 1 6 7 11 9 4 -3
-3 2 6 7 11 11 5 0
-3 2 6 7 10 10 5 0
-4 2 6 6 9 9 4 -2
-2 2 6 5 9 10 4 0
0 3 5 5 8 10 4 -2
-3 2 5 5 9 10 4 -3
-4 1 5 5 9 10 4 -3
-3 0 6 5 9 9 4 -3
-2 1 6 4 9 9 4 -3
-2 2 5 3 8 8 4 -3
-4 2 4 2 6 7 3 -4
-5 1 4 3 7 8 4 -3
-5 2 4 3 7 8 3 -2
-4 3 4 2 7 8 2 -3
-3 3 5 3 7 7 2 -2
-3 2 5 2 7 7 2 -3
-4 1 5 3 7 8 3 -2
-4 0 5 2 6 7 2 -4
-4 -2 4 0 5 6 1 -5
-2 -2 4 -2 5 5 0 -5
1 0 3 0 5 6 0 -4
0 1 3 -2 4 5 0 -5
-4 -2 3 -3 2 3 -2 -6
-4 -2 2 -3 2 3 -2 -4
-3 0 4 -2 4 5 0 -3
-4 0 5 -3 3 5 0 -4
-5 -2 5 -3 2 4 0 -5
-5 -2 5 -2 3 4 0 -5
-3 -2 3 -3 2 4 0 -5
0 -2 1 -4 1 3 -2 -6
0 -2 -2 -7 -2 2 -4 -7
-4 -3 1 -6 0 2 -4 -6
-6 -3 1 -6 0 2 -4 -6
-5 -3 1 -6 0 2 -3 -6
-5 -3 2 -7 0 2 -3 -6
-5 -4 2 -7 -2 2 -4 -6
-5 -4 1 -7 -2 1 -4 -7
-6 -4 2 -6 0 2 -3 -6
-5 -4 1 -7 -2 2 -4 -8
-4 -4 1 -7 -2 2 -4 -8
-4 -3 1 -7 -2 2 -4 -7
-4 -3 1 -8 -2 1 -5 -7
-4 -3 2 -8 -2 1 -5 -7
-5 -2 2 -8 -2 0 -5 -7
-5 -2 3 -9 -3 0 -5 -8
-5 -3 3 -9 -3 0 -6 -8
-5 -3 3 -8 -4 0 -6 -8
-5 -3 2 -8 -4 -2 -6 -8
-5 -3 1 -9 -5 -2 -6 -8
-5 -3 0 -10 -5 -2 -6 -8
-4 -3 1 -10 -5 -2 -6 -8
-3 -3 0 -11 -6 -3 -7 -9
-3 -3 0 -11 -6 -3 -7 -9
-3 -4 1 -10 -5 -2 -6 -8
-4 -4 1 -10 -5 -2 -7 -8
-5 -4 1 -10 -5 -2 -7 -8
-5 -5 0 -10 -5 -2 -7 -8
-5 -6 -2 -11 -6 -3 -8 -9
-4 -5 -3 -11 -7 -4 -9 -9
-4 -3 0 -9 -5 -3 -8 -8
-4 -4 0 -10 -6 -3 -8 -8
-4 -5 0 -12 -7 -4 -8 -9
-3 -3 -2 -12 -7 -4 -8 -10
0 -2 -3 -13 -8 -5 -9 -10
-2 -3 -2 -13 -8 -4 -8 -9
-5 -4 0 -13 -8 -3 -8 -9
-5 -5 0 -12 -7 -2 -8 -8
-5 -6 0 -12 -6 -2 -7 -8
-4 -6 1 -12 -6 -3 -7 -8
-4 -5 0 -12 -8 -5 -9 -9
-3 -4 0 -12 -7 -4 -9 -9
-3 -4 0 -12 -7 -4 -9 -9
-4 -5 -2 -13 -8 -5 -9 -9
-5 -6 -2 -12 -8 -4 -8 -8
-3 -3 0 -12 -8 -4 -8 -8
0 0 0 -12 -7 -4 -8 -7
-3 -4 0 -12 -6 -4 -7 -7
-6 -7 -2 -13 -7 -4 -8 -8
-5 -7 -2 -13 -8 -4 -9 -10
-5 -6 -2 -12 -8 -4 -8 -9
-5 -6 -2 -13 -8 -5 -8 -9
-4 -6 0 -13 -7 -4 -8 -8
-3 -5 -2 -13 -7 -4 -8 -8
-3 -4 0 -12 -6 -3 -8 -7
-4 -3 2 -11 -6 -3 -8 -7
-3 -2 3 -11 -6 -3 -8 -7
-2 1 3 -11 -6 -2 -7 -7
-2 0 2 -11 -6 -2 -7 -7
-3 -2 1 -10 -5 0 -6 -7
-3 0 1 -9 -5 1 -6 -7
-2 3 1 -10 -5 0 -6 -7
0 4 3 -9 -4 1 -4 -6
1 5 3 -10 -5 -2 -6 -7
1 5 3 -9 -5 -2 -6 -6
-3 5 4 -7 -4 1 -5 -5
-3 5 5 -7 -4 1 -5 -6
-3 5 6 -6 -3 2 -4 -5
-2 5 8 -5 0 3 -3 -4
0 6 8 -5 0 3 -3 -5
2 7 8 -5 1 4 -3 -5
3 8 8 -5 2 5 -3 -4
3 9 9 -3 4 7 0 -2
3 11 10 -2 5 8 1 0
5 14 10 2 7 11 3 3
6 17 9 3 8 12 4 4
6 18 9 3 9 13 6 6
6 19 7 3 9 13 7 7
7 18 6 2 9 14 8 7
9 17 4 0 7 12 6 6
11 12 -2 -4 3 9 3 3
11 8 -5 -7 0 6 0 1
10 7 -7 -10 -3 4 -3 0
9 7 -8 -9 -3 5 -3 2
9 7 -9 -11 -4 4 -3 1
9 7 -8 -12 -5 3 -3 2
9 8 -8 -12 -4 3 -2 2
8 7 -7 -10 -3 4 0 2
7 6 -8 -12 -4 3 0 1
6 6 -9 -14 -6 2 -2 1
8 10 -9 -15 -7 1 -3 1
9 13 -9 -15 -6 1 -2 2
8 13 -10 -16 -7 1 -2 2
5 11 -9 -17 -8 1 -3 1
1 8 -7 -18 -9 -2 -5 0
-3 4 -6 -17 -9 -3 -6 -3
-4 1 -4 -16 -9 -4 -8 -4
-4 -2 -5 -17 -11 -6 -10 -7
-4 -5 -6 -18 -12 -6 -10 -7
-4 -7 -7 -19 -13 -8 -12 -8
-4 -9 -7 -20 -14 -9 -13 -10
-5 -11 -8 -20 -15 -9 -14 -12
-4 -12 -8 -22 -16 -10 -15 -14
-2 -10 -10 -24 -19 -13 -17 -15
0 -9 -8 -23 -17 -11 -16 -13
-2 -9 -8 -23 -18 -12 -16 -14
-4 -11 -8 -23 -18 -11 -16 -14
-4 -11 -8 -21 -17 -11 -16 -14
-5 -11 -7 -20 -15 -9 -14 -13
-6 -12 -8 -20 -16 -9 -15 -14
-5 -11 -8 -20 -15 -9 -15 -13
-4 -9 -8 -21 -15 -10 -15 -13
-4 -9 -8 -21 -15 -10 -14 -13
-4 -10 -8 -22 -16 -10 -15 -13
-5 -11 -8 -21 -16 -10 -15 -13
-6 -12 -7 -21 -16 -11 -16 -13
-6 -11 -6 -20 -15 -10 -15 -13
-3 -9 -6 -20 -15 -11 -14 -13
-3 -9 -6 -20 -15 -11 -14 -13
-6 -12 -6 -20 -15 -9 -14 -14
-6 -12 -7 -20 -16 -10 -17 -14
-6 -12 -7 -20 -16 -11 -16 -13
-7 -12 -5 -19 -15 -9 -15 -12
-8 -12 -5 -19 -15 -9 -16 -12
-7 -12 -5 -18 -15 -9 -16 -12
-6 -12 -6 -19 -16 -10 -17 -13
-6 -12 -6 -19 -16 -10 -16 -13
-4 -12 -5 -18 -15 -9 -15 -13
-3 -12 -6 -20 -14 -11 -16 -14
-4 -13 -7 -20 -14 -10 -16 -15
-5 -13 -7 -19 -14 -10 -16 -14
-4 -12 -6 -19 -14 -9 -15 -13
-4 -12 -6 -19 -13 -9 -14 -13
-4 -12 -6 -19 -13 -9 -15 -13
-4 -12 -6 -19 -13 -9 -16 -13
-5 -12 -4 -17 -13 -9 -16 -14
-5 -12 -2 -15 -12 -10 -17 -15
-6 -13 2 -11 -10 -9 -17 -15
-7 -14 5 -7 -8 -8 -18 -17
-8 -14 8 2 -3 -7 -19 -19
-9 -15 13 15 8 0 -17 -19
-6 -14 16 27 20 8 -12 -16
-2 -11 21 42 36 21 -4 -11
1 -4 29 63 60 42 10 -2
3 5 39 89 91 68 28 11
5 13 47 113 127 104 53 25
10 18 54 136 167 141 76 39
16 21 61 157 205 177 100 53
22 25 67 171 239 212 123 66
30 34 67 173 266 243 148 84
37 45 57 158 274 262 168 100
46 52 33 119 252 255 174 110
55 55 -5 54 190 213 160 112
62 57 -54 -49 82 132 128 108
62 57 -108 -188 -60 23 78 94
54 47 -156 -339 -206 -91 15 65
42 21 -198 -471 -337 -196 -52 25
34 -7 -243 -574 -441 -280 -108 -8
36 -20 -278 -628 -495 -322 -137 -23
44 -21 -291 -618 -492 -322 -141 -25
45 -19 -290 -589 -472 -311 -139 -25
37 -15 -285 -561 -451 -300 -136 -23
26 -2 -269 -519 -418 -277 -126 -18
14 18 -241 -461 -367 -242 -106 -8
6 32 -217 -406 -320 -208 -87 2
2 33 -203 -367 -287 -187 -77 4
1 30 -190 -331 -259 -169 -71 1
0 31 -176 -294 -228 -147 -63 1
0 30 -161 -259 -200 -129 -57 1
-2 26 -146 -228 -177 -114 -51 0
0 22 -129 -197 -154 -100 -46 -2
1 21 -107 -162 -129 -82 -38 -2
2 20 -85 -129 -103 -65 -30 0
4 16 -65 -102 -82 -52 -25 -2
4 8 -51 -80 -65 -43 -22 -4
2 2 -40 -63 -53 -34 -21 -6
3 -2 -32 -50 -44 -28 -19 -7
3 0 -23 -38 -34 -22 -16 -6
3 0 -17 -30 -28 -18 -14 -5
2 -3 -13 -24 -25 -17 -14 -6
1 -6 -12 -22 -24 -16 -15 -8
-2 -7 -10 -20 -22 -16 -14 -8
-3 -8 -8 -17 -19 -14 -13 -8
-3 -9 -7 -14 -17 -14 -13 -8
-3 -9 -6 -11 -16 -13 -13 -8
-3 -9 -6 -10 -15 -12 -13 -8
0 -9 -4 -9 -14 -11 -13 -8
1 -9 -3 -8 -14 -11 -13 -9
1 -9 -2 -5 -12 -10 -13 -9
0 -10 0 -3 -10 -9 -13 -8
0 -10 1 -2 -9 -9 -13 -8
0 -11 1 1 -8 -9 -12 -8
-3 -12 2 3 -7 -7 -12 -7
-3 -12 3 4 -6 -7 -12 -7
-2 -12 4 6 -6 -6 -11 -7
1 -11 4 7 -4 -5 -11 -7
3 -10 4 7 -3 -5 -10 -8
1 -10 4 7 -3 -5 -10 -8
-3 -11 4 8 -3 -5 -11 -8
-3 -10 5 10 -2 -4 -10 -7
-2 -10 6 10 -2 -4 -11 -8
0 -11 7 11 0 -3 -10 -8
1 -11 8 13 1 -2 -9 -7
2 -11 9 14 2 -2 -9 -7
1 -12 9 14 2 -2 -10 -7
0 -12 8 15 3 -2 -10 -8
0 -12 9 16 3 -2 -9 -8
0 -12 10 17 4 0 -8 -7
-2 -11 10 18 4 0 -7 -6
-4 -12 11 20 6 0 -7 -5
-4 -12 12 20 7 1 -6 -5
0 -12 13 22 7 2 -6 -5
2 -12 13 23 7 2 -6 -5
1 -12 13 23 7 1 -6 -5
-2 -12 13 24 8 1 -6 -5
0 -12 13 26 9 2 -5 -5
2 -12 13 26 10 2 -5 -5
3 -10 13 27 11 3 -5 -5
3 -8 13 29 12 3 -5 -4
2 -9 14 30 12 5 -5 -4
1 -11 15 30 12 5 -5 -4
0 -11 16 32 13 6 -4 -4
0 -12 17 35 16 8 -2 -3
1 -12 17 35 16 7 -3 -4
1 -12 17 37 16 6 -3 -4
2 -10 17 37 16 7 -3 -4
3 -9 18 38 18 9 -2 -3
2 -9 18 38 19 9 -2 -3
1 -9 17 40 20 8 -2 -3
3 -7 18 43 20 9 0 -2
4 -7 20 45 21 10 1 0
3 -8 20 46 21 10 2 0
4 -8 21 48 23 11 2 1
6 -6 23 50 25 14 3 1
7 -6 23 50 25 13 3 1
4 -9 22 51 25 13 3 1
4 -8 23 52 26 14 3 1
7 -5 24 55 28 16 4 3
8 -4 24 57 30 16 6 4
7 -5 24 58 30 16 6 3
6 -6 25 60 32 18 6 4
5 -5 27 63 33 19 7 5
3 -5 27 65 34 20 8 5
2 -6 27 65 36 20 8 6
4 -7 28 67 36 20 9 6
7 -4 29 69 37 20 9 6
8 0 29 70 38 21 10 6
9 0 28 72 39 21 10 7
7 -2 28 74 40 21 11 8
7 -2 28 76 43 23 12 9
8 1 30 78 45 24 13 10
10 2 31 80 46 25 13 11
10 2 32 84 47 26 14 10
9 2 33 85 48 27 14 10
10 3 34 87 49 27 15 11
10 4 34 89 50 28 15 12
10 4 34 91 51 29 16 13
10 5 34 92 52 30 16 13
10 6 35 95 54 30 18 14
11 7 36 97 55 30 18 14
13 8 36 98 55 31 18 14
13 8 37 101 57 32 19 15
14 8 38 103 58 33 20 16
14 8 39 104 58 33 20 17
14 9 38 105 57 32 20 16
15 10 39 106 58 33 21 17
15 11 39 106 58 32 20 17
15 11 38 107 58 32 20 17
15 11 37 106 57 31 19 16
14 10 37 107 57 31 19 16
13 10 38 108 57 31 19 17
13 10 39 108 57 31 19 17
14 10 40 109 57 31 20 18
15 10 42 109 57 31 19 18
15 10 40 108 56 29 18 18
14 10 40 108 54 27 17 17
17 12 39 107 53 26 17 17
18 14 40 107 53 25 17 18
16 14 39 106 51 24 16 18
15 12 39 105 49 23 15 17
15 11 39 103 48 21 14 15
15 10 39 102 47 20 14 15
15 9 38 100 44 18 12 13
15 9 38 99 42 16 11 13
15 9 38 97 40 15 10 12
16 9 37 95 38 13 9 12
16 8 36 93 36 11 7 11
15 8 36 91 34 9 6 10
15 8 35 90 33 7 5 9
15 8 34 89 32 6 4 9
14 7 35 88 32 7 5 10
13 6 36 87 31 7 5 10
14 6 35 84 29 5 4 9
14 5 35 82 28 4 4 9
14 5 34 79 26 3 3 8
13 4 33 77 24 1 2 7
14 4 32 75 23 0 1 6
14 4 31 72 22 -2 0 5
13 3 31 70 21 -2 0 4
11 2 32 68 21 0 0 5
10 3 32 67 21 1 0 5
10 3 32 65 21 1 0 4
